a_name,noc,discipline,c_id
FURK Benedikt,Germany,Hockey,7
GRAMBUSCH Mats Jurgen,Germany,Hockey,7
HAUKE Tobias Constantin,Germany,Hockey,7
HERZBRUCH Timm Alexander,Germany,Hockey,7
KAUFMANN Paul-Philipp,Germany,Hockey,7
MULLER Linus,Germany,Hockey,7
ORUZ Timur,Germany,Hockey,7
RUHR Jan Christopher,Germany,Hockey,7
STADLER Alexander,Germany,Hockey,7
WEIGAND Justus,Germany,Hockey,7
WINDFEDER Lukas,Germany,Hockey,7
CAIRA Jenna,Canada,Baseball/Softball,8
GROENEWEGEN Sara,Canada,Baseball/Softball,8
HARSHMAN Kelsey,Canada,Baseball/Softball,8
LEUNG Janet,Canada,Baseball/Softball,8
LYE Joey,Canada,Baseball/Softball,8
POLIDORI Erika,Canada,Baseball/Softball,8
RAFTER Kaleigh,Canada,Baseball/Softball,8
EBADIPOUR GHARA H. Milad,Islamic Republic of Iran,Volleyball,9
GHAFOUR Amir,Islamic Republic of Iran,Volleyball,9
GHOLAMI Masoud,Islamic Republic of Iran,Volleyball,9
KARIMISOUCHELMAEI Javad,Islamic Republic of Iran,Volleyball,9
KAZEMI Saber,Islamic Republic of Iran,Volleyball,9
MARANDI Mahdi,Islamic Republic of Iran,Volleyball,9
MAROUFLAKRANI Mir Saeid,Islamic Republic of Iran,Volleyball,9
MOJARAD Aliasghar,Islamic Republic of Iran,Volleyball,9
MOUSAVI ERAGHI Seyed Mohammad,Islamic Republic of Iran,Volleyball,9
SALEHI Arman,Islamic Republic of Iran,Volleyball,9
SALEHI Meisam,Islamic Republic of Iran,Volleyball,9
SHARIFI Morteza,Islamic Republic of Iran,Volleyball,9
ARZANI Daniel,Australia,Football,19
BACCUS Keanu,Australia,Football,19
D'AGOSTINO Nicholas,Australia,Football,19
DENG Thomas,Australia,Football,19
DUKE Mitch,Australia,Football,19
GENREAU Denis,Australia,Football,19
GLOVER Thomas,Australia,Football,19
HOLMES Jordan,Australia,Football,19
KERR Sam,Australia,Football,19
KING Joel,Australia,Football,19
MICAH Teagan,Australia,Football,19
PIERIAS Dylan,Australia,Football,19
PISCOPO Reno,Australia,Football,19
RICH-BAGHUELOU Jay,Australia,Football,19
SIMON Kyah,Australia,Football,19
SOUTTAR Harry,Australia,Football,19
TILIO Marco,Australia,Football,19
WALES Lachlan,Australia,Football,19
BALEIWAIRIKI Iosefo Masikau,Fiji,Rugby Sevens,21
BOTITU Vilimoni,Fiji,Rugby Sevens,21
DERENALAGI Mele,Fiji,Rugby Sevens,21
RADRADRA Semi,Fiji,Rugby Sevens,21
SOLIKOVITI Vasiti,Fiji,Rugby Sevens,21
TUWAI Jerry,Fiji,Rugby Sevens,21
ULUNISAU Reapi,Fiji,Rugby Sevens,21
VAKURUNABILI Josua,Fiji,Rugby Sevens,21
ENTZMINGER Emma,Canada,Baseball/Softball,26
GILBERT Jen,Canada,Baseball/Softball,26
HAYWARD Victoria,Canada,Baseball/Softball,26
LAWRIE Danielle,Canada,Baseball/Softball,26
REGULA Lauren,Canada,Baseball/Softball,26
SALLING Jenn,Canada,Baseball/Softball,26
BEALE Daniel James,Australia,Hockey,28
BRAND Tim,Australia,Hockey,28
CHARTER Andrew Lewis,Australia,Hockey,28
CRAIG Thomas William,Australia,Hockey,28
DAWSON Matthew,Australia,Hockey,28
FITZPATRICK Madison Mae,Australia,Hockey,28
GOVERS Blake,Australia,Hockey,28
HAYWARD Jeremy Thomas,Australia,Hockey,28
HOWARD Tim,Australia,Hockey,28
MARTIN Dylan,Australia,Hockey,28
MITTON Trent Grant,Australia,Hockey,28
OCKENDEN Edward Clive,Australia,Hockey,28
OGILVIE Flynn Andrew,Australia,Hockey,28
SHARP Lachlan Thomas,Australia,Hockey,28
WHETTON Jacob Thomas,Australia,Hockey,28
WICKHAM Tom Joseph,Australia,Hockey,28
ZALEWSKI Aran,Australia,Hockey,28
ALMADA Thiago,Argentina,Football,29
BELMONTE Tomas,Argentina,Football,29
